Soil_Moisture,Humidity,Temperature
38,38.81,20.47
90,89.31,28.71
62,69.81,15.22
85,80.06,22.64
39,47.25,28.17
41,46.19,18.96
45,71.38,30.81
48,56.75,17.83
88,84.81,29.05
45,71.31,26.72
89,79.62,23.19
55,68.75,19.69
90,89.69,27.84
91,90.69,28.08
52,64.12,31.51
82,84.88,18.6
55,75.62,30.29
80,87.12,24.31
56,78.19,27.72
76,85.06,29.13
52,74.38,31.96
44,69.81,29.08
37,64.38,32.55
91,90.31,29.07
86,89.81,27.76
93,92.94,28.09
39,42.88,25.27
80,73.56,20.56
88,89.12,26.45
92,85.88,26.15
41,52.31,20.37
87,75.44,22.49
48,57.88,18.76
78,85.75,29.2
83,78.75,20.27
32,55.25,30.57
66,61.38,19.03
70,74.69,23.11
43,60.12,26.86
93,93.44,27.55
73,76.56,17.58
76,88.38,21.58
83,86.06,28.79
89,88.06,28.85
84,90.0,28.73
86,95.0,23.91
92,85.25,23.4
71,86.25,28.25
36,50.44,32.44
91,92.69,27.73
95,90.5,27.57
66,67.06,17.12
88,82.81,24.72
94,85.56,28.99
95,91.31,28.8
91,84.25,23.49
51,65.0,16.21
62,75.31,24.12
66,79.0,16.76
55,85.69,23.2
41,40.81,28.05
42,61.44,21.33
52,69.62,17.36
92,87.0,27.48
82,81.06,25.28
38,56.06,27.95
97,94.62,26.03
45,35.62,20.87
87,86.12,28.59
42,52.12,29.32
77,83.75,18.16
52,80.69,29.62
91,89.06,28.52
38,46.88,20.46
82,88.38,27.66
67,56.31,21.69
91,94.06,26.32
82,82.94,29.93
86,81.31,27.52
42,61.56,17.52
87,81.44,28.4
33,59.06,30.09
80,80.0,15.26
65,67.81,15.5
94,83.38,30.05
88,83.62,28.41
98,90.94,28.41
39,68.88,21.74
92,93.5,28.21
91,86.81,28.57
90,83.5,28.35
61,63.75,21.45
91,85.75,29.9
45,61.12,17.07
88,87.06,28.49
41,51.62,19.58
94,90.31,26.48
69,65.38,16.46
91,85.38,26.51
58,60.88,20.62
89,92.25,28.11
91,94.38,27.62
52,75.44,30.89
51,77.94,27.18
91,89.06,28.6
78,91.31,27.55
42,58.19,21.6
56,67.0,20.37
57,80.19,27.87
62,74.75,23.36
84,80.62,22.24
61,67.75,16.77
90,90.75,28.64
45,61.0,28.61
77,89.19,28.64
92,83.94,23.4
94,90.56,27.98
74,77.94,22.9
65,76.88,30.58
95,88.38,28.9
80,82.94,15.11
88,91.12,26.62
56,81.5,29.92
83,81.06,16.93
80,85.5,25.1
83,81.25,22.35
55,78.38,17.87
91,90.56,28.99
78,74.25,28.37
44,59.62,18.89
61,61.19,20.37
54,77.0,28.46
80,73.06,12.42
84,92.0,27.8
81,73.94,21.29
74,92.31,22.82
50,79.94,28.92
76,75.62,20.84
93,82.62,29.33
93,89.12,27.96
65,70.0,13.91
61,69.56,21.9
77,80.56,29.27
73,84.5,26.69
90,87.88,28.05
37,61.69,27.01
89,91.44,28.63
45,71.19,26.87
37,52.0,28.3
51,48.94,21.54
53,66.81,24.79
93,92.31,28.43
91,91.38,28.37
69,73.56,16.94
91,90.12,27.65
82,84.38,18.76
88,90.75,27.51
82,87.56,28.21
91,79.56,27.93
89,89.62,29.25
80,88.31,26.05
82,74.75,14.75
92,77.31,24.4
91,93.31,26.87
66,72.94,22.98
66,84.44,28.23
84,78.81,21.94
48,57.06,22.15
88,74.25,22.23
91,86.81,28.58
82,84.94,16.88
37,52.75,31.23
97,93.12,28.4
34,71.88,28.87
90,91.44,28.27
73,87.0,26.78
88,88.25,28.11
83,70.56,28.19
83,85.31,16.2
84,83.44,19.42
89,90.69,27.19
55,82.81,29.69
47,76.31,29.25
41,69.38,28.76
94,90.75,28.51
91,87.44,28.16
51,49.94,22.38
40,67.94,32.48
51,80.19,28.77
38,66.38,32.09
91,90.88,27.98
96,93.44,27.85
91,86.88,28.65
53,75.31,30.76
86,87.56,28.86
38,60.88,26.91
78,87.81,28.97
86,80.44,29.87
95,91.25,27.87
94,88.75,27.87
38,43.88,19.94
34,62.0,32.73
92,87.62,27.37
39,51.44,18.08
68,70.81,16.96
77,87.12,29.09
88,87.94,25.86
44,68.81,31.78
91,89.69,29.35
84,78.5,19.68
41,61.0,30.05
38,61.38,27.75
91,89.56,28.86
88,90.5,27.78
40,36.88,19.11
55,59.25,31.8
82,86.56,29.34
94,94.06,26.05
85,93.31,27.93
91,91.25,27.69
51,55.44,22.23
43,70.12,30.08
65,69.81,23.25
76,85.12,29.45
84,78.81,18.58
31,60.19,30.74
55,75.06,20.63
83,75.56,16.94
96,91.06,27.91
90,88.5,28.47
76,69.5,15.65
76,94.69,22.32
82,85.44,26.01
83,89.38,28.84
89,92.25,27.79
