Soil_Moisture,Humidity,Temperature,Crop Name
48,74.75,20.37,Sugarcane
47,73.56,23.09,Sugarcane
47,73.06,23.78,Sugarcane
47,79.31,22.54,Sugarcane
46,70.38,20.71,Sugarcane
45,62.5,18.26,Sugarcane
45,62.62,16.87,Sugarcane
45,60.12,16.53,Sugarcane
45,61.12,17.07,Sugarcane
45,63.06,17.15,Sugarcane
45,57.75,16.19,Sugarcane
44,56.81,16.72,Wheat
44,59.75,18.01,Wheat
44,59.62,18.89,Wheat
43,52.81,19.02,Wheat
43,44.38,18.94,Wheat
44,63.88,20.16,Wheat
43,61.69,18.18,Wheat
42,59.88,17.4,Wheat
42,61.56,17.52,Wheat
42,57.38,17.8,Wheat
41,54.94,18.47,Wheat
41,49.94,18.84,Wheat
41,58.25,19.55,Wheat
41,57.31,19.3,Wheat
41,47.12,18.37,Wheat
41,51.62,19.58,Wheat
41,62.19,21.33,Wheat
40,59.81,21.68,Wheat
40,68.0,20.48,Wheat
40,49.5,17.75,Wheat
39,48.31,16.94,Wheat
39,51.44,18.08,Wheat
39,51.88,19.98,Wheat
39,47.75,20.58,Wheat
38,45.56,21.56,Wheat
38,46.88,20.46,Wheat
38,39.62,18.54,Wheat
38,42.56,18.43,Wheat
38,50.19,19.94,Wheat
38,50.38,21.94,Wheat
38,43.88,19.94,Wheat
38,38.81,20.47,Wheat
37,48.94,21.08,Wheat
37,53.44,21.62,Wheat
39,68.88,21.74,Wheat
38,61.75,22.68,Wheat
37,46.31,23.05,Wheat
38,56.62,23.62,Wheat
49,73.5,23.05,Sugarcane
41,65.0,23.78,Wheat
38,53.88,24.08,Wheat
41,58.12,24.53,Wheat
38,65.19,25.51,Wheat
38,63.5,26.56,Wheat
38,64.06,26.54,Wheat
38,66.81,26.37,Wheat
37,65.38,26.78,Wheat
37,61.69,27.01,Wheat
36,55.75,27.91,Wheat
36,48.5,28.13,Wheat
35,49.56,26.42,Wheat
46,68.19,22.2,Sugarcane
47,56.12,24.51,Sugarcane
48,43.06,23.02,Sugarcane
47,42.31,23.02,Sugarcane
47,41.06,24.01,Sugarcane
46,39.0,25.06,Sugarcane
46,39.44,25.73,Sugarcane
46,36.38,25.12,Sugarcane
45,32.69,23.83,Sugarcane
34,34.62,24.67,Wheat
34,45.44,27.55,Wheat
34,45.12,28.76,Wheat
34,43.56,28.8,Wheat
34,45.12,28.78,Wheat
34,46.0,29.05,Wheat
33,40.75,28.17,Wheat
33,32.31,26.71,Wheat
32,30.69,26.82,Wheat
32,31.38,27.4,Wheat
31,34.75,28.81,Wheat
31,50.56,29.9,Wheat
31,54.12,30.43,Wheat
33,59.06,30.09,Wheat
32,55.25,30.57,Wheat
32,58.81,30.14,Wheat
31,57.81,30.82,Wheat
31,60.19,30.74,Wheat
36,69.94,28.23,Wheat
38,62.12,29.58,Wheat
55,76.19,28.19,Potato
55,72.44,30.07,Potato
55,71.12,30.12,Potato
57,80.19,27.87,Potato
58,77.44,27.97,Potato
54,77.0,28.46,Potato
52,72.38,28.8,Potato
58,68.69,29.17,Potato
56,67.12,30.0,Potato
55,68.75,29.85,Potato
47,68.12,28.9,Sugarcane
45,66.12,28.85,Sugarcane
45,64.81,28.8,Sugarcane
45,65.75,27.82,Sugarcane
45,61.0,28.61,Sugarcane
44,59.31,28.01,Sugarcane
46,68.25,28.86,Sugarcane
51,73.69,29.62,Sugarcane
46,69.88,30.36,Sugarcane
47,72.19,30.68,Sugarcane
50,77.88,29.41,Potato
55,78.94,28.82,Potato
56,82.81,27.04,Potato
53,78.44,26.8,Potato
51,72.25,26.71,Potato
51,69.44,28.23,Potato
52,73.44,28.48,Potato
50,78.94,28.33,Potato
50,79.94,28.92,Potato
52,74.62,29.97,Potato
51,80.19,28.77,Potato
50,76.38,29.29,Potato
48,70.12,30.14,Sugarcane
48,69.88,29.67,Sugarcane
47,71.31,30.15,Sugarcane
47,72.56,30.23,Sugarcane
50,73.62,29.2,Sugarcane
46,72.62,30.39,Sugarcane
52,80.69,29.62,Potato
52,87.94,27.9,Potato
58,81.5,29.44,Potato
52,73.19,30.8,Potato
51,75.0,31.08,Potato
55,77.31,30.69,Potato
60,83.06,28.83,Potato
56,78.12,29.23,Potato
55,76.31,29.9,Potato
52,74.5,31.21,Potato
51,70.69,31.73,Potato
51,73.19,31.35,Potato
51,73.31,32.16,Potato
51,74.5,32.28,Potato
51,84.94,29.76,Potato
55,81.56,29.81,Potato
58,81.12,29.51,Potato
57,84.94,28.8,Potato
55,82.81,29.69,Potato
53,79.31,30.73,Potato
59,82.88,29.93,Potato
56,80.62,29.57,Potato
55,80.38,29.65,Potato
54,77.06,30.66,Potato
56,78.75,30.37,Potato
53,75.31,30.76,Potato
52,74.88,31.51,Potato
52,79.81,30.39,Potato
52,81.25,29.74,Potato
51,78.75,30.61,Potato
51,77.81,30.85,Potato
59,84.44,29.65,Potato
70,91.06,28.66,Banana
66,89.5,28.45,Banana
73,87.06,28.16,Banana
71,86.19,28.67,Banana
72,86.38,28.41,Banana
73,91.12,27.83,Banana
70,87.19,28.42,Banana
69,86.12,28.0,Banana
68,84.31,29.61,Banana
68,87.44,28.78,Banana
70,86.0,29.22,Banana
74,86.56,29.2,Banana
77,90.38,28.37,Mango
80,88.19,29.32,Mango
88,88.06,29.3,Maize
91,91.81,28.08,Maize
91,92.19,27.37,Maize
88,88.25,28.01,Maize
86,87.44,28.07,Maize
86,87.06,28.69,Maize
86,87.56,28.86,Maize
86,90.12,28.89,Maize
88,87.88,29.42,Maize
87,87.06,29.5,Maize
86,88.44,28.97,Maize
86,89.94,28.66,Maize
86,90.62,28.48,Maize
90,91.44,28.27,Maize
90,92.19,27.78,Maize
91,88.69,28.39,Maize
91,90.25,28.16,Maize
90,87.75,28.99,Maize
89,86.88,29.62,Maize
89,89.56,29.52,Maize
91,93.81,28.56,Maize
93,92.94,28.09,Strawberry
95,95.06,27.11,Strawberry
95,94.38,27.15,Strawberry
96,91.81,27.38,Strawberry
95,89.75,27.93,Strawberry
95,91.88,27.74,Strawberry
95,91.19,27.83,Strawberry
95,92.75,27.82,Strawberry
95,94.75,27.21,Strawberry
96,93.06,27.37,Strawberry
96,93.19,26.8,Strawberry
97,94.62,26.03,Strawberry
97,90.94,27.06,Strawberry
96,88.12,28.02,Strawberry
95,91.81,27.08,Strawberry
97,94.38,26.73,Strawberry
97,92.75,26.71,Strawberry
96,91.69,26.65,Strawberry
95,90.12,27.33,Strawberry
95,89.44,28.01,Strawberry
94,88.06,28.4,Strawberry
93,87.88,28.66,Strawberry
93,89.56,28.06,Strawberry
92,86.94,28.88,Strawberry
