Crop Name,Feature,Count,Mean,Median,Standard Deviation,Minimum,Q1,Q3,Maximum,IQR
Banana,Soil_Moisture,289,66.8961937716263,66.0,4.407571536709424,60.0,62.0,70.0,75.0,8.0
Banana,Humidity,289,73.94667820069205,74.19,9.206480999793452,42.94,67.81,81.88,92.31,14.069999999999993
Banana,Temperature,289,21.563840830449827,21.42,4.659829901475826,13.37,17.42,25.72,30.64,8.299999999999997
Jute,Soil_Moisture,247,80.95951417004049,81.0,0.9097376145006967,79.0,80.0,82.0,82.0,2.0
Jute,Humidity,247,81.76963562753036,82.12,5.561739385178365,68.25,77.97,86.06,95.0,8.090000000000003
Jute,Temperature,247,21.191457489878545,20.01,4.8174787941545345,11.84,17.490000000000002,25.14,30.21,7.649999999999999
Maize,Soil_Moisture,608,89.42269736842105,90.0,1.7039380573603329,84.0,88.0,91.0,92.0,3.0
Maize,Humidity,608,87.41588815789474,88.62,4.585247693333156,68.94,84.25,90.75,95.44,6.5
Maize,Temperature,608,27.423486842105255,28.16,2.1488236726412326,17.93,27.1025,28.72,30.8,1.6174999999999997
Mango,Soil_Moisture,255,77.4235294117647,77.0,1.1298714712100564,75.0,76.0,78.0,80.0,2.0
Mango,Humidity,255,84.80654901960784,86.38,5.974352718584013,61.06,82.56,88.75,94.69,6.189999999999998
Mango,Temperature,255,25.643450980392156,28.1,4.89802256545654,11.98,22.325,28.83,29.9,6.504999999999999
Pineapple,Soil_Moisture,181,83.67403314917127,84.0,0.7369907122929967,81.0,83.0,84.0,85.0,1.0
Pineapple,Humidity,181,83.77,84.88,5.773979082439115,70.56,79.06,88.44,93.94,9.379999999999995
Pineapple,Temperature,181,24.33701657458564,25.9,4.478129935183929,14.77,20.69,28.48,30.63,7.789999999999999
Potato,Soil_Moisture,324,54.21604938271605,54.0,2.8604685489505424,50.0,52.0,56.0,60.0,4.0
Potato,Humidity,324,70.63404320987654,71.405,9.743870313137469,45.62,64.03,78.075,92.81,14.045000000000002
Potato,Temperature,324,25.2716975308642,26.560000000000002,5.127389019969048,13.76,20.685000000000002,29.86,33.3,9.174999999999997
Strawberry,Soil_Moisture,443,94.30248306997743,94.0,1.7447187722294215,92.0,93.0,95.0,99.0,2.0
Strawberry,Humidity,443,89.56532731376976,90.5,3.9549070921521583,71.38,88.09,92.12,95.56,4.030000000000001
Strawberry,Temperature,443,27.878510158013544,28.06,1.1908358757785968,20.58,27.564999999999998,28.49,30.09,0.9250000000000007
Sugercane,Soil_Moisture,180,46.583333333333336,46.0,1.6439324701703677,44.0,45.0,48.0,51.0,3.0
Sugercane,Humidity,180,60.30916666666666,60.97,10.136804939697463,32.69,53.6425,69.14,81.19,15.497500000000002
Sugercane,Temperature,180,23.901611111111112,24.325,4.680319447137145,15.73,18.8975,27.604999999999997,32.81,8.707499999999996
Wheat,Soil_Moisture,365,39.24931506849315,40.0,3.340688358019075,31.0,37.0,42.0,46.0,5.0
Wheat,Humidity,365,58.13213698630137,59.5,10.477114585425143,30.69,50.38,66.38,83.62,15.999999999999993
Wheat,Temperature,365,27.108273972602742,28.23,4.602227665508559,15.14,24.08,30.49,34.3,6.41
