Feature,Crop Name,Minimum,Maximum,Count,Other Crop Values Inside This Range,Nearly Exclusive Range
Soil_Moisture,Wheat,31.0,46.0,365,96,False
Soil_Moisture,Sugercane,44.0,51.0,180,102,False
Soil_Moisture,Potato,50.0,60.0,324,16,False
Soil_Moisture,Banana,60.0,75.0,289,8,False
Soil_Moisture,Mango,75.0,80.0,255,107,False
Soil_Moisture,Jute,79.0,82.0,247,61,False
Soil_Moisture,Pineapple,81.0,85.0,181,151,False
Soil_Moisture,Maize,84.0,92.0,608,188,False
Soil_Moisture,Strawberry,92.0,99.0,443,4,False
Humidity,Wheat,30.69,83.62,365,1196,False
Humidity,Sugercane,32.69,81.19,180,1171,False
Humidity,Banana,42.94,92.31,289,2386,False
Humidity,Potato,45.62,92.81,324,2366,False
Humidity,Mango,61.06,94.69,255,2247,False
Humidity,Jute,68.25,95.0,247,2003,False
Humidity,Maize,68.94,95.44,608,1616,False
Humidity,Pineapple,70.56,93.94,181,1925,False
Humidity,Strawberry,71.38,95.56,443,1671,False
Temperature,Jute,11.84,30.21,247,2454,False
Temperature,Mango,11.98,29.9,255,2392,False
Temperature,Banana,13.37,30.64,289,2452,False
Temperature,Potato,13.76,33.3,324,2553,False
Temperature,Pineapple,14.77,30.63,181,2530,False
Temperature,Wheat,15.14,34.3,365,2474,False
Temperature,Sugercane,15.73,32.81,180,2606,False
Temperature,Maize,17.93,30.8,608,1880,False
Temperature,Strawberry,20.58,30.09,443,1680,False
