Crop A,Crop B,Feature,Range A,Range B,Overlap,Overlap Range,Overlap Width,Overlap % of Smaller Range
Banana,Jute,Soil_Moisture,60-75,79-82,False,,0.0,0.0
Banana,Jute,Humidity,42.94-92.31,68.25-95,True,68.25-92.31,24.060000000000002,89.94
Banana,Jute,Temperature,13.37-30.64,11.84-30.21,True,13.37-30.21,16.840000000000003,97.51
Banana,Maize,Soil_Moisture,60-75,84-92,False,,0.0,0.0
Banana,Maize,Humidity,42.94-92.31,68.94-95.44,True,68.94-92.31,23.370000000000005,88.19
Banana,Maize,Temperature,13.37-30.64,17.93-30.8,True,17.93-30.64,12.71,98.76
Banana,Mango,Soil_Moisture,60-75,75-80,True,75-75,0.0,0.0
Banana,Mango,Humidity,42.94-92.31,61.06-94.69,True,61.06-92.31,31.25,92.92
Banana,Mango,Temperature,13.37-30.64,11.98-29.9,True,13.37-29.9,16.53,95.72
Banana,Pineapple,Soil_Moisture,60-75,81-85,False,,0.0,0.0
Banana,Pineapple,Humidity,42.94-92.31,70.56-93.94,True,70.56-92.31,21.75,93.03
Banana,Pineapple,Temperature,13.37-30.64,14.77-30.63,True,14.77-30.63,15.86,100.0
Banana,Potato,Soil_Moisture,60-75,50-60,True,60-60,0.0,0.0
Banana,Potato,Humidity,42.94-92.31,45.62-92.81,True,45.62-92.31,46.690000000000005,98.94
Banana,Potato,Temperature,13.37-30.64,13.76-33.3,True,13.76-30.64,16.880000000000003,97.74
Banana,Strawberry,Soil_Moisture,60-75,92-99,False,,0.0,0.0
Banana,Strawberry,Humidity,42.94-92.31,71.38-95.56,True,71.38-92.31,20.930000000000007,86.56
Banana,Strawberry,Temperature,13.37-30.64,20.58-30.09,True,20.58-30.09,9.510000000000002,100.0
Banana,Sugercane,Soil_Moisture,60-75,44-51,False,,0.0,0.0
Banana,Sugercane,Humidity,42.94-92.31,32.69-81.19,True,42.94-81.19,38.25,78.87
Banana,Sugercane,Temperature,13.37-30.64,15.73-32.81,True,15.73-30.64,14.91,87.3
Banana,Wheat,Soil_Moisture,60-75,31-46,False,,0.0,0.0
Banana,Wheat,Humidity,42.94-92.31,30.69-83.62,True,42.94-83.62,40.68000000000001,82.4
Banana,Wheat,Temperature,13.37-30.64,15.14-34.3,True,15.14-30.64,15.5,89.75
Jute,Maize,Soil_Moisture,79-82,84-92,False,,0.0,0.0
Jute,Maize,Humidity,68.25-95,68.94-95.44,True,68.94-95,26.060000000000002,98.34
Jute,Maize,Temperature,11.84-30.21,17.93-30.8,True,17.93-30.21,12.280000000000001,95.42
Jute,Mango,Soil_Moisture,79-82,75-80,True,79-80,1.0,33.33
Jute,Mango,Humidity,68.25-95,61.06-94.69,True,68.25-94.69,26.439999999999998,98.84
Jute,Mango,Temperature,11.84-30.21,11.98-29.9,True,11.98-29.9,17.919999999999998,100.0
Jute,Pineapple,Soil_Moisture,79-82,81-85,True,81-82,1.0,33.33
Jute,Pineapple,Humidity,68.25-95,70.56-93.94,True,70.56-93.94,23.379999999999995,100.0
Jute,Pineapple,Temperature,11.84-30.21,14.77-30.63,True,14.77-30.21,15.440000000000001,97.35
Jute,Potato,Soil_Moisture,79-82,50-60,False,,0.0,0.0
Jute,Potato,Humidity,68.25-95,45.62-92.81,True,68.25-92.81,24.560000000000002,91.81
Jute,Potato,Temperature,11.84-30.21,13.76-33.3,True,13.76-30.21,16.450000000000003,89.55
Jute,Strawberry,Soil_Moisture,79-82,92-99,False,,0.0,0.0
Jute,Strawberry,Humidity,68.25-95,71.38-95.56,True,71.38-95,23.620000000000005,97.68
Jute,Strawberry,Temperature,11.84-30.21,20.58-30.09,True,20.58-30.09,9.510000000000002,100.0
Jute,Sugercane,Soil_Moisture,79-82,44-51,False,,0.0,0.0
Jute,Sugercane,Humidity,68.25-95,32.69-81.19,True,68.25-81.19,12.939999999999998,48.37
Jute,Sugercane,Temperature,11.84-30.21,15.73-32.81,True,15.73-30.21,14.48,84.78
Jute,Wheat,Soil_Moisture,79-82,31-46,False,,0.0,0.0
Jute,Wheat,Humidity,68.25-95,30.69-83.62,True,68.25-83.62,15.370000000000005,57.46
Jute,Wheat,Temperature,11.84-30.21,15.14-34.3,True,15.14-30.21,15.07,82.04
Maize,Mango,Soil_Moisture,84-92,75-80,False,,0.0,0.0
Maize,Mango,Humidity,68.94-95.44,61.06-94.69,True,68.94-94.69,25.75,97.17
Maize,Mango,Temperature,17.93-30.8,11.98-29.9,True,17.93-29.9,11.969999999999999,93.01
Maize,Pineapple,Soil_Moisture,84-92,81-85,True,84-85,1.0,25.0
Maize,Pineapple,Humidity,68.94-95.44,70.56-93.94,True,70.56-93.94,23.379999999999995,100.0
Maize,Pineapple,Temperature,17.93-30.8,14.77-30.63,True,17.93-30.63,12.7,98.68
Maize,Potato,Soil_Moisture,84-92,50-60,False,,0.0,0.0
Maize,Potato,Humidity,68.94-95.44,45.62-92.81,True,68.94-92.81,23.870000000000005,90.08
Maize,Potato,Temperature,17.93-30.8,13.76-33.3,True,17.93-30.8,12.870000000000001,100.0
Maize,Strawberry,Soil_Moisture,84-92,92-99,True,92-92,0.0,0.0
Maize,Strawberry,Humidity,68.94-95.44,71.38-95.56,True,71.38-95.44,24.060000000000002,99.5
Maize,Strawberry,Temperature,17.93-30.8,20.58-30.09,True,20.58-30.09,9.510000000000002,100.0
Maize,Sugercane,Soil_Moisture,84-92,44-51,False,,0.0,0.0
Maize,Sugercane,Humidity,68.94-95.44,32.69-81.19,True,68.94-81.19,12.25,46.23
Maize,Sugercane,Temperature,17.93-30.8,15.73-32.81,True,17.93-30.8,12.870000000000001,100.0
Maize,Wheat,Soil_Moisture,84-92,31-46,False,,0.0,0.0
Maize,Wheat,Humidity,68.94-95.44,30.69-83.62,True,68.94-83.62,14.680000000000007,55.4
Maize,Wheat,Temperature,17.93-30.8,15.14-34.3,True,17.93-30.8,12.870000000000001,100.0
Mango,Pineapple,Soil_Moisture,75-80,81-85,False,,0.0,0.0
Mango,Pineapple,Humidity,61.06-94.69,70.56-93.94,True,70.56-93.94,23.379999999999995,100.0
Mango,Pineapple,Temperature,11.98-29.9,14.77-30.63,True,14.77-29.9,15.129999999999999,95.4
Mango,Potato,Soil_Moisture,75-80,50-60,False,,0.0,0.0
Mango,Potato,Humidity,61.06-94.69,45.62-92.81,True,61.06-92.81,31.75,94.41
Mango,Potato,Temperature,11.98-29.9,13.76-33.3,True,13.76-29.9,16.14,90.07
Mango,Strawberry,Soil_Moisture,75-80,92-99,False,,0.0,0.0
Mango,Strawberry,Humidity,61.06-94.69,71.38-95.56,True,71.38-94.69,23.310000000000002,96.4
Mango,Strawberry,Temperature,11.98-29.9,20.58-30.09,True,20.58-29.9,9.32,98.0
Mango,Sugercane,Soil_Moisture,75-80,44-51,False,,0.0,0.0
Mango,Sugercane,Humidity,61.06-94.69,32.69-81.19,True,61.06-81.19,20.129999999999995,59.86
Mango,Sugercane,Temperature,11.98-29.9,15.73-32.81,True,15.73-29.9,14.169999999999998,82.96
Mango,Wheat,Soil_Moisture,75-80,31-46,False,,0.0,0.0
Mango,Wheat,Humidity,61.06-94.69,30.69-83.62,True,61.06-83.62,22.560000000000002,67.08
Mango,Wheat,Temperature,11.98-29.9,15.14-34.3,True,15.14-29.9,14.759999999999998,82.37
Pineapple,Potato,Soil_Moisture,81-85,50-60,False,,0.0,0.0
Pineapple,Potato,Humidity,70.56-93.94,45.62-92.81,True,70.56-92.81,22.25,95.17
Pineapple,Potato,Temperature,14.77-30.63,13.76-33.3,True,14.77-30.63,15.86,100.0
Pineapple,Strawberry,Soil_Moisture,81-85,92-99,False,,0.0,0.0
Pineapple,Strawberry,Humidity,70.56-93.94,71.38-95.56,True,71.38-93.94,22.560000000000002,96.49
Pineapple,Strawberry,Temperature,14.77-30.63,20.58-30.09,True,20.58-30.09,9.510000000000002,100.0
Pineapple,Sugercane,Soil_Moisture,81-85,44-51,False,,0.0,0.0
Pineapple,Sugercane,Humidity,70.56-93.94,32.69-81.19,True,70.56-81.19,10.629999999999995,45.47
Pineapple,Sugercane,Temperature,14.77-30.63,15.73-32.81,True,15.73-30.63,14.899999999999999,93.95
Pineapple,Wheat,Soil_Moisture,81-85,31-46,False,,0.0,0.0
Pineapple,Wheat,Humidity,70.56-93.94,30.69-83.62,True,70.56-83.62,13.060000000000002,55.86
Pineapple,Wheat,Temperature,14.77-30.63,15.14-34.3,True,15.14-30.63,15.489999999999998,97.67
Potato,Strawberry,Soil_Moisture,50-60,92-99,False,,0.0,0.0
Potato,Strawberry,Humidity,45.62-92.81,71.38-95.56,True,71.38-92.81,21.430000000000007,88.63
Potato,Strawberry,Temperature,13.76-33.3,20.58-30.09,True,20.58-30.09,9.510000000000002,100.0
Potato,Sugercane,Soil_Moisture,50-60,44-51,True,50-51,1.0,14.29
Potato,Sugercane,Humidity,45.62-92.81,32.69-81.19,True,45.62-81.19,35.57,75.38
Potato,Sugercane,Temperature,13.76-33.3,15.73-32.81,True,15.73-32.81,17.080000000000002,100.0
Potato,Wheat,Soil_Moisture,50-60,31-46,False,,0.0,0.0
Potato,Wheat,Humidity,45.62-92.81,30.69-83.62,True,45.62-83.62,38.00000000000001,80.53
Potato,Wheat,Temperature,13.76-33.3,15.14-34.3,True,15.14-33.3,18.159999999999997,94.78
Strawberry,Sugercane,Soil_Moisture,92-99,44-51,False,,0.0,0.0
Strawberry,Sugercane,Humidity,71.38-95.56,32.69-81.19,True,71.38-81.19,9.810000000000002,40.57
Strawberry,Sugercane,Temperature,20.58-30.09,15.73-32.81,True,20.58-30.09,9.510000000000002,100.0
Strawberry,Wheat,Soil_Moisture,92-99,31-46,False,,0.0,0.0
Strawberry,Wheat,Humidity,71.38-95.56,30.69-83.62,True,71.38-83.62,12.240000000000009,50.62
Strawberry,Wheat,Temperature,20.58-30.09,15.14-34.3,True,20.58-30.09,9.510000000000002,100.0
Sugercane,Wheat,Soil_Moisture,44-51,31-46,True,44-46,2.0,28.57
Sugercane,Wheat,Humidity,32.69-81.19,30.69-83.62,True,32.69-81.19,48.5,100.0
Sugercane,Wheat,Temperature,15.73-32.81,15.14-34.3,True,15.73-32.81,17.080000000000002,100.0
