Soil,Soil_Moisture,Humidity,Temperature,Crop Name
0.48,48,74.75,20.37,Sugercane
0.47,47,73.56,23.09,Sugercane
0.47,47,73.06,23.78,Sugercane
0.47,47,79.31,22.54,Sugercane
0.46,46,70.38,20.71,Sugercane
0.45,45,62.5,18.26,Sugercane
0.45,45,62.62,16.87,Sugercane
0.45,45,60.12,16.53,Sugercane
0.45,45,61.12,17.07,Sugercane
0.45,45,63.06,17.15,Sugercane
0.45,45,57.75,16.19,Sugercane
0.44,44,56.81,16.72,Wheat
0.44,44,59.75,18.01,Wheat
0.44,44,59.62,18.89,Wheat
0.43,43,52.81,19.02,Wheat
0.43,43,44.38,18.94,Wheat
0.44,44,63.88,20.16,Wheat
0.43,43,61.69,18.18,Wheat
0.42,42,59.88,17.4,Wheat
0.42,42,61.56,17.52,Wheat
0.42,42,57.38,17.8,Wheat
0.41,41,54.94,18.47,Wheat
0.41,41,49.94,18.84,Wheat
0.41,41,58.25,19.55,Wheat
0.41,41,57.31,19.3,Wheat
0.41,41,47.12,18.37,Wheat
0.41,41,51.62,19.58,Wheat
0.41,41,62.19,21.33,Wheat
0.4,40,59.81,21.68,Wheat
0.4,40,68,20.48,Wheat
0.4,40,49.5,17.75,Wheat
0.39,39,48.31,16.94,Wheat
0.39,39,51.44,18.08,Wheat
0.39,39,51.88,19.98,Wheat
0.39,39,47.75,20.58,Wheat
0.38,38,45.56,21.56,Wheat
0.38,38,46.88,20.46,Wheat
0.38,38,39.62,18.54,Wheat
0.38,38,42.56,18.43,Wheat
0.38,38,50.19,19.94,Wheat
0.38,38,50.38,21.94,Wheat
0.38,38,43.88,19.94,Wheat
0.38,38,38.81,20.47,Wheat
0.37,37,48.94,21.08,Wheat
0.37,37,53.44,21.62,Wheat
0.39,39,68.88,21.74,Wheat
0.38,38,61.75,22.68,Wheat
0.37,37,46.31,23.05,Wheat
0.38,38,56.62,23.62,Wheat
0.49,49,73.5,23.05,Sugercane
0.41,41,65,23.78,Wheat
0.38,38,53.88,24.08,Wheat
0.41,41,58.12,24.53,Wheat
0.38,38,65.19,25.51,Wheat
0.38,38,63.5,26.56,Wheat
0.38,38,64.06,26.54,Wheat
0.38,38,66.81,26.37,Wheat
0.37,37,65.38,26.78,Wheat
0.37,37,61.69,27.01,Wheat
0.36,36,55.75,27.91,Wheat
0.36,36,48.5,28.13,Wheat
0.35,35,49.56,26.42,Wheat
0.46,46,68.19,22.2,Sugercane
0.47,47,56.12,24.51,Sugercane
0.48,48,43.06,23.02,Sugercane
0.47,47,42.31,23.02,Sugercane
0.47,47,41.06,24.01,Sugercane
0.46,46,39,25.06,Sugercane
0.46,46,39.44,25.73,Sugercane
0.46,46,36.38,25.12,Sugercane
0.45,45,32.69,23.83,Sugercane
0.34,34,34.62,24.67,Wheat
0.34,34,45.44,27.55,Wheat
0.34,34,45.12,28.76,Wheat
0.34,34,43.56,28.8,Wheat
0.34,34,45.12,28.78,Wheat
0.34,34,46,29.05,Wheat
0.33,33,40.75,28.17,Wheat
0.33,33,32.31,26.71,Wheat
0.32,32,30.69,26.82,Wheat
0.32,32,31.38,27.4,Wheat
0.31,31,34.75,28.81,Wheat
0.31,31,50.56,29.9,Wheat
0.31,31,54.12,30.43,Wheat
0.33,33,59.06,30.09,Wheat
0.32,32,55.25,30.57,Wheat
0.32,32,58.81,30.14,Wheat
0.31,31,57.81,30.82,Wheat
0.31,31,60.19,30.74,Wheat
0.36,36,69.94,28.23,Wheat
0.38,38,62.12,29.58,Wheat
0.55,55,76.19,28.19,Potato
0.55,55,72.44,30.07,Potato
0.55,55,71.12,30.12,Potato
0.57,57,80.19,27.87,Potato
0.58,58,77.44,27.97,Potato
0.54,54,77,28.46,Potato
0.52,52,72.38,28.8,Potato
0.58,58,68.69,29.17,Potato
0.56,56,67.12,30,Potato
0.55,55,68.75,29.85,Potato
0.47,47,68.12,28.9,Sugercane
0.45,45,66.12,28.85,Sugercane
0.45,45,64.81,28.8,Sugercane
0.45,45,65.75,27.82,Sugercane
0.45,45,61,28.61,Sugercane
0.44,44,59.31,28.01,Sugercane
0.46,46,68.25,28.86,Sugercane
0.51,51,73.69,29.62,Sugercane
0.46,46,69.88,30.36,Sugercane
0.47,47,72.19,30.68,Sugercane
0.5,50,77.88,29.41,Potato
0.55,55,78.94,28.82,Potato
0.56,56,82.81,27.04,Potato
0.53,53,78.44,26.8,Potato
0.51,51,72.25,26.71,Potato
0.51,51,69.44,28.23,Potato
0.52,52,73.44,28.48,Potato
0.5,50,78.94,28.33,Potato
0.5,50,79.94,28.92,Potato
0.52,52,74.62,29.97,Potato
0.51,51,80.19,28.77,Potato
0.5,50,76.38,29.29,Potato
0.48,48,70.12,30.14,Sugercane
0.48,48,69.88,29.67,Sugercane
0.47,47,71.31,30.15,Sugercane
0.47,47,72.56,30.23,Sugercane
0.5,50,73.62,29.2,Sugercane
0.46,46,72.62,30.39,Sugercane
0.52,52,80.69,29.62,Potato
0.52,52,87.94,27.9,Potato
0.58,58,81.5,29.44,Potato
0.52,52,73.19,30.8,Potato
0.51,51,75,31.08,Potato
0.55,55,77.31,30.69,Potato
0.6,60,83.06,28.83,Potato
0.56,56,78.12,29.23,Potato
0.55,55,76.31,29.9,Potato
0.52,52,74.5,31.21,Potato
0.51,51,70.69,31.73,Potato
0.51,51,73.19,31.35,Potato
0.51,51,73.31,32.16,Potato
0.51,51,74.5,32.28,Potato
0.51,51,84.94,29.76,Potato
0.55,55,81.56,29.81,Potato
0.58,58,81.12,29.51,Potato
0.57,57,84.94,28.8,Potato
0.55,55,82.81,29.69,Potato
0.53,53,79.31,30.73,Potato
0.59,59,82.88,29.93,Potato
0.56,56,80.62,29.57,Potato
0.55,55,80.38,29.65,Potato
0.54,54,77.06,30.66,Potato
0.56,56,78.75,30.37,Potato
0.53,53,75.31,30.76,Potato
0.52,52,74.88,31.51,Potato
0.52,52,79.81,30.39,Potato
0.52,52,81.25,29.74,Potato
0.51,51,78.75,30.61,Potato
0.51,51,77.81,30.85,Potato
0.59,59,84.44,29.65,Potato
0.7,70,91.06,28.66,Banana
0.66,66,89.5,28.45,Banana
0.73,73,87.06,28.16,Banana
0.71,71,86.19,28.67,Banana
0.72,72,86.38,28.41,Banana
0.73,73,91.12,27.83,Banana
0.7,70,87.19,28.42,Banana
0.69,69,86.12,28,Banana
0.68,68,84.31,29.61,Banana
0.68,68,87.44,28.78,Banana
0.7,70,86,29.22,Banana
0.74,74,86.56,29.2,Banana
0.77,77,90.38,28.37,Mango
0.8,80,88.19,29.32,Mango
0.88,88,88.06,29.3,Maize
0.91,91,91.81,28.08,Maize
0.91,91,92.19,27.37,Maize
0.88,88,88.25,28.01,Maize
0.86,86,87.44,28.07,Maize
0.86,86,87.06,28.69,Maize
0.86,86,87.56,28.86,Maize
0.86,86,90.12,28.89,Maize
0.88,88,87.88,29.42,Maize
0.87,87,87.06,29.5,Maize
0.86,86,88.44,28.97,Maize
0.86,86,89.94,28.66,Maize
0.86,86,90.62,28.48,Maize
0.9,90,91.44,28.27,Maize
0.9,90,92.19,27.78,Maize
0.91,91,88.69,28.39,Maize
0.91,91,90.25,28.16,Maize
0.9,90,87.75,28.99,Maize
0.89,89,86.88,29.62,Maize
0.89,89,89.56,29.52,Maize
0.91,91,93.81,28.56,Maize
0.93,93,92.94,28.09,Strawberry
0.95,95,95.06,27.11,Strawberry
0.95,95,94.38,27.15,Strawberry
0.96,96,91.81,27.38,Strawberry
0.95,95,89.75,27.93,Strawberry
0.95,95,91.88,27.74,Strawberry
0.95,95,91.19,27.83,Strawberry
0.95,95,92.75,27.82,Strawberry
0.95,95,94.75,27.21,Strawberry
0.96,96,93.06,27.37,Strawberry
0.96,96,93.19,26.8,Strawberry
0.97,97,94.62,26.03,Strawberry
0.97,97,90.94,27.06,Strawberry
0.96,96,88.12,28.02,Strawberry
0.95,95,91.81,27.08,Strawberry
0.97,97,94.38,26.73,Strawberry
0.97,97,92.75,26.71,Strawberry
0.96,96,91.69,26.65,Strawberry
0.95,95,90.12,27.33,Strawberry
0.95,95,89.44,28.01,Strawberry
0.94,94,88.06,28.4,Strawberry
0.93,93,87.88,28.66,Strawberry
0.93,93,89.56,28.06,Strawberry
0.92,92,86.94,28.88,Strawberry
0.92,92,88.06,28.53,Strawberry
0.92,92,88.94,28.24,Strawberry
0.92,92,89.06,28.29,Strawberry
0.92,92,90.81,28.34,Strawberry
0.92,92,91.25,28.3,Strawberry
0.92,92,89.69,28.75,Strawberry
0.92,92,90.81,28.63,Strawberry
0.92,92,91.38,28.17,Strawberry
0.92,92,91.25,28.16,Strawberry
0.92,92,91.12,28.26,Strawberry
0.92,92,90.5,28.65,Strawberry
0.93,93,93,28.43,Strawberry
0.94,94,93.44,27.56,Strawberry
0.92,92,88.94,28.36,Strawberry
0.92,92,91.12,27.87,Strawberry
0.94,94,88.19,28.67,Strawberry
0.95,95,90.75,28.28,Strawberry
0.95,95,90.69,28.05,Strawberry
0.92,92,92.19,27.84,Strawberry
0.93,93,91.69,27.68,Strawberry
0.93,93,90.31,28.26,Strawberry
0.94,94,91.88,28.32,Strawberry
0.93,93,94,27.87,Strawberry
0.93,93,93.38,27.34,Strawberry
0.93,93,90.62,27.48,Strawberry
0.93,93,90.31,27.55,Strawberry
0.92,92,89.56,27.87,Strawberry
0.92,92,89.44,28.05,Strawberry
0.91,91,87.69,28.65,Maize
0.91,91,91.25,27.69,Maize
0.91,91,87.44,28.16,Maize
0.91,91,81.56,29.33,Maize
0.91,91,88.31,27.8,Maize
0.91,91,85.94,28.24,Maize
0.9,90,80.44,29.5,Maize
0.9,90,89.12,28.12,Maize
0.9,90,91.06,27.72,Maize
0.9,90,90.31,28.24,Maize
0.89,89,89.94,28.35,Maize
0.88,88,79.56,29.72,Maize
0.88,88,81.12,30.15,Maize
0.9,90,93.81,27.4,Maize
0.91,91,94.62,27.02,Maize
0.91,91,93.5,27.51,Maize
0.9,90,90.75,28.41,Maize
0.91,91,92.69,27.59,Maize
0.9,90,90.88,27.62,Maize
0.89,89,85.81,28.24,Maize
0.91,91,75.44,28.1,Maize
0.91,91,71.94,27.88,Maize
0.9,90,75.5,27.68,Maize
0.89,89,80.38,28.39,Maize
0.88,88,78.38,29.19,Maize
0.88,88,82.19,28.95,Maize
0.88,88,89.69,28.44,Maize
0.88,88,89.06,28.29,Maize
0.88,88,83.62,28.41,Maize
0.87,87,82.56,28.01,Maize
0.88,88,86.44,27.76,Maize
0.89,89,90.69,27.19,Maize
0.9,90,94.31,26.45,Maize
0.9,90,88.56,27.6,Maize
0.89,89,85.38,28.19,Maize
0.88,88,84.19,27.58,Maize
0.88,88,87.44,26.72,Maize
0.88,88,89.12,26.45,Maize
0.88,88,87.94,25.86,Maize
0.88,88,85.31,26.25,Maize
0.87,87,81.31,26.65,Maize
0.87,87,78.06,27.05,Maize
0.86,86,77.94,26.55,Maize
0.85,85,79.19,26.67,Pineapple
0.84,84,75.62,26.77,Pineapple
0.84,84,72.5,26.56,Pineapple
0.84,84,71.19,26.9,Pineapple
0.84,84,75.25,26.58,Pineapple
0.83,83,72.44,25.9,Pineapple
0.83,83,73.12,24.59,Pineapple
0.83,83,71.62,24.44,Pineapple
0.83,83,72.88,24.21,Pineapple
