Model,Feature,Importance,Normalized_Importance
Random Forest,Soil_Moisture,0.691665637830723,0.691665637830723
Random Forest,Humidity,0.1750478539991121,0.1750478539991121
Random Forest,Temperature,0.13328650817016488,0.13328650817016488
LightGBM,Soil_Moisture,16628.0,0.41953877983549476
LightGBM,Humidity,10496.0,0.26482313165463994
LightGBM,Temperature,12510.0,0.31563808850986524
XGBoost,Soil_Moisture,0.8669114708900452,0.8669114289065876
XGBoost,Humidity,0.09373283386230469,0.0937328293229387
XGBoost,Temperature,0.039355743676424026,0.039355741770473705
CatBoost,Soil_Moisture,95.31048603538606,0.9531048603538607
CatBoost,Humidity,1.9380812711115907,0.019380812711115906
CatBoost,Temperature,2.7514326935023505,0.027514326935023505
