feature,feature_group,currently_used,missing_values_train,unique_values,data_type,leakage_risk,scientifically_reasonable_for_crop_recommendation,anova_f,p_value,eta_squared,mutual_info,mean_range_across_crops,normalized_mean_range,mean_Maize,mean_Rice,mean_Soybean,mean_Wheat,std_Maize,std_Rice,std_Soybean,std_Wheat
Silt,Soil properties,False,0,10000,float64,LOW,Yes,2.46880700617041,0.06009166967612981,0.0009254085859066526,0.008086451622548285,1.234023999999998,0.07776546094208343,32.273319,33.298448,32.210965,32.064424,15.798309,16.033135,15.855004,15.787694
Aspect,Location/agricultural variables,False,0,10000,float64,LOW,Yes,1.6329538905990877,0.17944561179201046,0.000612288913595484,0.0,6.727392000000009,0.06500345321169582,178.939076,177.438616,184.166008,178.815334,101.45435,104.86257,104.073484,103.580956
Sand,Soil properties,False,0,10000,float64,LOW,Yes,1.5085930045776645,0.21009044948272343,0.0005656851985398793,0.0,1.0136430000000018,0.05814893412927774,49.345765,50.354628,50.359408,50.023031,17.428769,17.423153,17.510534,17.364911
Bulk_Density,Soil properties,False,0,10000,float64,LOW,Yes,1.2826671100131948,0.2784302191585657,0.0004810093053667258,0.0024175080369723823,0.012242000000000086,0.05281848630667867,1.400569,1.395177,1.407352,1.407419,0.230265,0.231996,0.233041,0.231797
Water_Holding_Capacity,Soil properties,False,0,10000,float64,LOW,Yes,1.248935884456191,0.29021053275620873,0.00046836578000061146,0.0,0.4953179999999975,0.056940497491123454,24.715046,25.032851,25.210364,25.120903,8.824753,8.588096,8.622458,8.760174
Humidity,Environmental/weather variables,False,0,10000,float64,LOW,Yes,1.1765665827016005,0.3170021797227305,0.00044123840782922253,0.0070617718918661865,0.982609999999994,0.05676256758364367,60.768798,60.081582,60.087737,59.786188,17.350012,17.198678,17.304816,17.390014
S,Soil nutrients,True,0,10000,float64,LOW,Yes,1.1614320146415364,0.3228751725063528,0.00043556508332083564,0.0004298410020102672,1.5728670000000022,0.05585077944356939,49.472713,49.915346,51.04558,50.414372,28.411516,27.987787,27.986988,28.26152
B,Soil nutrients,True,0,10000,float64,LOW,Yes,1.1355878905335801,0.3331261245689022,0.000425877039666318,0.010080692278606307,0.04630599999999996,0.05545889465447048,1.583308,1.55052,1.537002,1.550013,0.823606,0.82988,0.843333,0.843024
pH,Soil properties,True,0,10000,float64,LOW,Yes,1.125629502547225,0.3371517503954765,0.00042214394379903105,0.0,0.06495000000000051,0.05606974421858285,6.463888,6.504673,6.489012,6.528838,1.150979,1.154328,1.173228,1.15498
Slope,Location/agricultural variables,False,0,10000,float64,LOW,Yes,1.1072000218788933,0.3447142124972628,0.00041523522014784236,0.0,0.4803829999999998,0.05541141613361123,14.984452,15.131489,14.651106,15.000705,8.700699,8.696699,8.660611,8.619539
Clay,Soil properties,False,0,10000,float64,LOW,Yes,1.08916337086686,0.35225830977169936,0.0004084736654505675,0.0,0.5205090000000006,0.05169396155330096,22.851452,22.673857,22.910652,22.390143,10.116062,10.014713,10.11786,10.027558
Temperature,Environmental/weather variables,False,0,10000,float64,LOW,Yes,1.0402462918628532,0.37344289004099784,0.0003901352382909001,0.0,0.4530990000000017,0.05252848526568561,24.72296,24.881329,25.013722,24.560623,8.644244,8.610896,8.634416,8.613552
EC,Soil properties,True,0,10000,float64,LOW,Yes,0.9007013651796386,0.4399186775280157,0.000337817818487525,0.0,0.03572299999999995,0.051565011697597744,1.316841,1.30077,1.281118,1.298851,0.694895,0.705603,0.675213,0.695393
OC,Soil properties,True,0,10000,float64,LOW,Yes,0.8287210523685336,0.4778388231386991,0.00031082921272822565,0.0,0.024202000000000057,0.044109490872943295,1.049838,1.061659,1.070838,1.046636,0.544745,0.548531,0.554319,0.547126
Elevation,Location/agricultural variables,False,0,10000,float64,LOW,Yes,0.7511628238758961,0.521524067877583,0.0002817475683755826,0.0029481047548300943,38.40365600000018,0.045959900682690895,1565.529212,1585.575876,1556.878998,1547.17222,844.313574,830.341534,826.228932,841.477926
Rainfall,Environmental/weather variables,False,0,10000,float64,LOW,Yes,0.6959642139895305,0.5543948668578913,0.00026104897445391307,0.0,3.877330999999998,0.045051810604250224,152.434028,148.556697,149.927018,150.17717,85.546853,86.954477,86.265049,85.488909
Cu,Soil nutrients,True,0,10000,float64,LOW,Yes,0.6396624780001033,0.5894135558985314,0.0002399358429377877,0.0,0.058472999999999775,0.04148254829589297,2.533058,2.591531,2.572116,2.551594,1.412673,1.412027,1.413502,1.400122
