column_name,data_type,missing_values,missing_pct,unique_values,feature_type,feature_group,currently_used,leakage_risk,leakage_reason,appears_to_contain_target_information,scientifically_reasonable_for_crop_recommendation,reasonableness_note
Temperature,float64,0,0.0,10000,numeric,Environmental/weather variables,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Humidity,float64,0,0.0,10000,numeric,Environmental/weather variables,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Rainfall,float64,0,0.0,10000,numeric,Environmental/weather variables,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Soil_Type,str,0,0.0,4,categorical,Soil properties,False,LOW,,No,Yes,Plausible input if available before recommendation time.
pH,float64,0,0.0,10000,numeric,Soil properties,True,LOW,,No,Yes,Plausible input if available before recommendation time.
EC,float64,0,0.0,10000,numeric,Soil properties,True,LOW,,No,Yes,Plausible input if available before recommendation time.
OC,float64,0,0.0,10000,numeric,Soil properties,True,LOW,,No,Yes,Plausible input if available before recommendation time.
N,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
P,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
K,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
Ca,float64,0,0.0,10000,numeric,Soil nutrients,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Mg,float64,0,0.0,10000,numeric,Soil nutrients,False,LOW,,No,Yes,Plausible input if available before recommendation time.
S,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
Zn,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
Fe,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
Cu,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
Mn,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
B,float64,0,0.0,10000,numeric,Soil nutrients,True,LOW,,No,Yes,Plausible input if available before recommendation time.
Mo,float64,0,0.0,10000,numeric,Soil nutrients,False,LOW,,No,Yes,Plausible input if available before recommendation time.
CEC,float64,0,0.0,10000,numeric,Soil properties,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Sand,float64,0,0.0,10000,numeric,Soil properties,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Silt,float64,0,0.0,10000,numeric,Soil properties,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Clay,float64,0,0.0,10000,numeric,Soil properties,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Bulk_Density,float64,0,0.0,10000,numeric,Soil properties,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Water_Holding_Capacity,float64,0,0.0,10000,numeric,Soil properties,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Slope,float64,0,0.0,10000,numeric,Location/agricultural variables,False,LOW,,No,Yes,Plausible input if available before recommendation time.
Aspect,float64,0,0.0,10000,numeric,Location/agricultural variables,False,LOW,,No,Yes,Plausible input if available before recommendation time.
